City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,castillos,-34.1667,-53.8333,8.73,77,42,2.23,UY,1698379281
244,tacuarembo,-31.7333,-55.9833,10.56,89,0,1.72,UY,1698379281
245,tungi,23.89,90.4058,30.0,70,1,1.54,BD,1698379214
246,badger,64.8,-147.5333,-5.31,93,75,0.0,US,1698379282
247,kristiansund,63.1115,7.732,-0.64,80,4,1.54,NO,1698379282
248,lensk,60.7253,114.9278,2.26,98,100,1.85,RU,1698379283
249,kapuskasing,49.4169,-82.4331,1.0,100,100,5.66,CA,1698379284
250,brandon,27.9378,-82.2859,22.13,86,40,3.09,US,1698379052
251,boende,-0.2167,20.8667,18.87,99,100,0.82,CD,1698379284
252,matthew town,20.95,-73.6667,27.25,70,10,8.77,BS,1698379285
253,portland,45.5234,-122.6762,6.51,94,75,1.79,US,1698378911
254,naama,33.2667,-0.3167,12.29,67,46,2.14,DZ,1698379286
255,morant bay,17.8815,-76.4093,28.79,80,36,5.7,JM,1698379286
256,nova sintra,14.8667,-24.7167,25.15,78,100,6.12,CV,1698379288
257,kulhudhuffushi,6.6221,73.07,28.69,74,74,4.91,MV,1698379289
258,sinabang,2.4803,96.3801,25.48,88,100,3.13,ID,1698379289
259,sidney,-33.8679,151.2073,16.69,63,40,10.29,AU,1698379132
260,merizo village,13.2658,144.6691,28.04,94,74,2.61,GU,1698379290
261,brak,27.5496,14.2714,22.8,27,0,3.13,LY,1698379290
262,zdvinsk,54.7021,78.661,-1.9,64,93,9.88,RU,1698379291
263,gorontalo,0.5412,123.0595,32.84,39,4,4.01,ID,1698379292
264,malakanagiri,18.35,81.9,26.81,58,3,1.36,IN,1698379292
265,kralendijk,12.15,-68.2667,27.99,83,63,1.03,BQ,1698379292
266,la massana,42.5667,1.4833,3.18,89,95,1.36,AD,1698379293
267,pago pago,-14.2781,-170.7025,26.23,79,65,9.18,AS,1698379218
268,armacao de buzios,-22.7469,-41.8817,21.43,96,100,2.15,BR,1698379293
269,opuwo,-18.0607,13.84,20.64,38,87,1.27,NA,1698379294
270,boyolangu,-8.1181,111.8935,32.96,45,4,3.89,ID,1698379294
271,otjiwarongo,-20.4637,16.6477,18.63,33,61,2.29,NA,1698379294
272,arvayheer,46.2639,102.775,10.19,16,99,2.2,MN,1698379295
273,daru,-9.0763,143.2092,28.77,68,71,4.82,PG,1698379295
274,polyarnyy,69.1989,33.4478,-3.25,94,100,3.2,RU,1698379296
275,visby,57.6409,18.296,4.12,93,100,4.12,SE,1698379296
276,smithers,54.7804,-127.1743,-4.82,68,20,1.54,CA,1698379217
277,saipan,15.1355,145.701,28.67,78,100,3.11,MP,1698379296
